"%d Review(s)","%d ความคิดเห็น"
"%s Review(s)","%s ความคิดเห็น"
"(Posted on %s)","(โพสต์เมื่อ %s)"
"1 star","1 ดาว"
"2 stars","2 ดาว"
"3 stars","3 ดาว"
"4 stars","4 ดาว"
"5 stars","5 ดาว"
"Add Items to Cart","Add Items to Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Wishlist","Add to Wishlist"
"Availability: In stock.","Availability: In stock."
"Availability: Out of stock.","Availability: Out of stock."
"Save Review","บันทึกความคิดเห็น"
"Name","ชื่อ"
"Product Name","ชื่อสินค้า"
"Name In Store","ชื่อในร้านค้า"
"Nickname","ชื่อ"
"My Recent Reviews","ความคิดเห็นล่าสุดของฉัน"
"Product Reviews","ความคิดเห็นสินค้า"
"Product Review (submitted on %s):","ความคิดเห็นสินค้า (ยืนยัน เมื่อ %s):"
"My Product Reviews","ข้อมูลแสดงความคิดเห็น"
"All Reviews","ความคิดเห็นทั้งหมด"
"Pending Reviews","ความคิดเห็นที่กำลังตรวจสอบ"
"Customer Reviews","ความคิดเห็นของลูกค้า"
"Your Review (submitted on %s):","ความคิดเห็นของคุณ(submit เมื่อ %s):"
"Your review has been accepted for moderation","ความคิดเห็นของคุณถูกรับไว้ตรวจสอบแล้ว"
"New Review","ความคิดเห็นใหม่"
"Summary of Your Review","หัวข้อการแสดงความคิดเห็นของคุณ"
"Please select a product","กรุณาเลือกสินค้า"
"Please select one of each of the ratings above","กรุณาเลือกให้คะแนน คะแนนใดคะแนนหนึ่งด้านบน"
"Back","กลับ"
"Back to Product Reviews","กลับไปยังความคิดเห็นสินค้า"
"Back to My Reviews","กลับไปยังความคิดเห็นของฉัน"
"Back to Main Product Info","กลับไปยังหน้าหลักข้อมูลสินค้า"
"Store Views","มุมมองร้านค้า"
"Submit Review","แสดงความคิดเห็น"
"Review Details","รายละเอียดความคิดเห็น"
"Detailed Rating","รายละเอียดการให้คะแนน"
"Price","ราคา"
"Delete","ลบ"
"Delete Review","ลบความคิดเห็น"
"Customer","ลูกค้า"
"Average Customer Rating","ลูกค้าให้คะแนนเฉลี่ย"
"Average Customer Rating:","ลูกค้าให้คะแนนเฉลี่ย:"
"Review","กรุณากรอกข้อมูลเพื่อแสดงความคิดเห็น"
"Review by %s","วิจารณ์โดย %s"
"Summary of Review","สรุปความคิดเห็น"
"Summary of review","สรุปความคิดเห็น"
"Summary Rating","สรุปคะแนน"
"Created On","สร้างเมื่อ"
"Visible In","สามารถเห็นได้ใน"
"Product","สินค้า"
"Status","สถานะ"
"Title","หัวข้อ"
"Administrator","ผู้ดูแลระบบ"
"Guest","ผู้เยี่ยมชม"
"Qty","จำนวน"
"View Details","ดูรายละเอียด"
"View All Reviews","ดูทุกความคิดเห็น"
"Rating:","คะแนน:"
"Product Rating","คะแนนสินค้า"
"Product Rating:","คะแนนสินค้า:"
"You're reviewing: %s","คุณกำลังวิจารณ์: %s"
"How do you rate this product?","คุณจะให้คะแนนสินค้านี้อย่างไร?"
"Are you sure?","คุณแน่ใจ?"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำสิ่งนี้?"
"Your Rating:","คุณให้คะแนน:"
"You have submitted no reviews.","คุณไม่ได้ ยืนยันความคิดเห็นใด ๆ"
"Type","ประเภท"
"Update status","ปรับปรุงสถานะ"
"Edit Review '%s'","แก้ไขความคิดเห็น '%s'"
"Posted By","โพสต์โดย"
"Unable to post review. Please, try again later.","ไม่สามารถโพสต์ความคิดเห็น กรุณาลองใหม่อีกครั้ง"
"Add Your Review","เพิ่มความคิดเห็น"
"Add New Review","เพิ่มความคิดเห็น"
"Write Your Own Review","เขียนความคิดเห็นของคุณเอง"
"Buy %s for %s","Buy %s for %s"
"ID","ID"
"OR","OR"
"SKU","SKU"
"Product SKU","SKU สินค้า"
"Visible Ins","Visible Ins"
"Zoom In","Zoom In"
"Zoom Out","Zoom Out"
"Rating","ความพึงพอใจต่อสินค้า"
"Image","ภาพประกอบ"
"Type the above code","โปรดพิมพ์คำตอบ"
"More photo","ภาพประกอบ"
" Review Detail","ความคิดเห็น"
"Incorrect captcha","ข้อมูลที่ท่านกรอกไม่ถูกต้อง กรุณากรอกใหม่อีกครั้ง"
"Value","ราคาเหมาะสม"
"Quality","ความพึงพอใจสินค้า"
"Price","ความครบถ้วนของข้อมูลสินค้า"
"Be the first to review this product","แสดงความคิดเห็นให้กับสินค้านี้เป็นคนแรก"
"You have submitted no reviews.","คุณไม่มีรายการแสดงความคิดเห็น"
